velocity,date
-14385,2016/1/20
0,2016/1/21
-6,2016/2/26
-4,2016/2/28
-22514,2016/3/4
-22513,2016/3/6
-22514,2016/3/8
-17016,2016/3/12
0,2016/5/1
2,2016/5/6
-2,2016/5/7
0,2016/5/8
-2,2016/5/10
1,2016/5/11
0,2016/5/14
-1,2016/5/15
-20,2016/5/17
1,2016/5/18
0,2016/5/19
1,2016/5/22
0,2016/5/23
0,2016/5/24
-1,2016/5/25
0,2016/5/28
-1,2016/5/30
0,2016/5/31
1,2016/6/1
1,2016/6/2
-1,2016/6/14
-2,2016/6/15
3,2016/6/16
-2,2016/6/17
-3,2016/6/25
-1,2016/6/26
1,2016/6/27
0,2016/6/28
-17,2016/6/30
0,2016/7/1
0,2016/7/3
0,2016/7/5
0,2016/7/8
2,2016/7/15
-5,2016/7/16
-16,2016/7/18
2,2016/7/19
1,2016/7/21
-2,2016/7/22
2,2016/7/23
-1,2016/7/24
-1,2016/7/25
1,2016/7/30
-1,2016/7/31
-1,2016/8/5
0,2016/8/6
2,2016/8/7
-3,2016/8/9
3,2016/8/10
2,2016/8/11
-5,2016/8/12
2,2016/8/13
-2,2016/8/14
1,2016/8/15
1,2016/8/16
1,2016/8/17
-2,2016/8/18
2,2016/8/19
-2,2016/8/20
0,2016/8/21
0,2016/8/22
4,2016/8/23
-4,2016/8/24
1,2016/8/25
0,2016/8/26
-1,2016/8/27
-1,2016/8/30
-3,2016/8/31
5,2016/9/1
-2,2016/9/2
-1,2016/9/3
1,2016/9/4
1,2016/9/5
1,2016/9/8
1,2016/9/9
1,2016/9/10
-6,2016/9/11
0,2016/9/12
2,2016/9/13
-3,2016/9/14
10,2016/9/15
-7,2016/9/16
-2,2016/9/17
-2,2016/9/19
-1,2016/9/20
0,2016/9/21
-1,2016/9/22
2,2016/9/23
-3,2016/9/24
0,2016/9/25
1,2016/9/26
5,2016/9/27
-4,2016/9/28
-1,2016/9/29
3,2016/10/1
2,2016/10/2
-3,2016/10/5
3,2016/10/6
-4,2016/10/7
4,2016/10/8
