congress,billname
108,HR 107
108,HR 1280
108,HR 1320
108,HR 1329
108,HR 1375
108,HR 1474
108,HR 1730
108,HR 1985
108,HR 2179
108,HR 2420
108,HR 2622
108,HR 2676
108,HR 2698
108,HR 2898
108,HR 3039
108,HR 3140
108,HR 3574
108,HR 3717
108,HR 382
108,HR 411
108,HR 4283
108,HR 4343
108,HR 4496
108,HR 4501
108,HR 4600
108,HR 4996
108,HR 552
108,HR 992
108,HR 993
108,HR 994
109,HR 1042
109,HR 1105
109,HR 1185
109,HR 1207
109,HR 1445
109,HR 16
109,HR 1618
109,HR 1713
109,HR 1749
109,HR 1773
109,HR 1862
109,HR 1999
109,HR 2355
109,HR 2505
109,HR 2561
109,HR 2830
109,HR 2864
109,HR 29
109,HR 3
109,HR 3043
109,HR 3186
109,HR 3200
109,HR 3206
109,HR 3505
109,HR 366
109,HR 3997
109,HR 4100
109,HR 4126
109,HR 4650
109,HR 4981
109,HR 5039
109,HR 5252
109,HR 5293
109,HR 5337
109,HR 5341
109,HR 5742
109,HR 5812
109,HR 5830
109,HR 6
109,HR 717
109,HR 745
109,HR 889
110,HR 1102
110,HR 1108
110,HR 1115
110,HR 112
110,HR 1137
110,HR 1157
110,HR 1197
110,HR 1211
110,HR 1232
110,HR 1240
110,HR 1273
110,HR 1315
110,HR 1328
110,HR 1338
110,HR 135
110,HR 1370
110,HR 1424
110,HR 1426
110,HR 1435
110,HR 1444
110,HR 1448
110,HR 1470
110,HR 1471
110,HR 1490
110,HR 1495
110,HR 1527
110,HR 1534
110,HR 156
110,HR 1598
110,HR 1632
110,HR 1750
110,HR 1776
110,HR 180
110,HR 1824
110,HR 1852
110,HR 1853
110,HR 1900
110,HR 1902
110,HR 1925
110,HR 1944
110,HR 1969
110,HR 20
110,HR 2005
110,HR 2015
110,HR 2095
110,HR 2172
110,HR 2173
110,HR 2192
110,HR 2219
110,HR 2259
110,HR 23
110,HR 2343
110,HR 2346
110,HR 2358
110,HR 2378
110,HR 2421
110,HR 2452
110,HR 2475
110,HR 251
110,HR 2537
110,HR 2579
110,HR 2623
110,HR 2634
110,HR 2696
110,HR 2697
110,HR 2702
110,HR 2703
110,HR 2721
110,HR 2768
110,HR 2790
110,HR 2818
110,HR 2830
110,HR 2874
110,HR 2885
110,HR 2895
110,HR 2910
110,HR 2930
110,HR 3
110,HR 3008
110,HR 3014
110,HR 3047
110,HR 3051
110,HR 3068
110,HR 315
110,HR 3185
110,HR 3195
110,HR 3232
110,HR 3249
110,HR 3286
110,HR 3298
110,HR 3329
110,HR 3355
110,HR 339
110,HR 3393
110,HR 3402
110,HR 3403
110,HR 3415
110,HR 3458
110,HR 3467
110,HR 3524
110,HR 358
110,HR 3610
110,HR 3646
110,HR 3681
110,HR 3747
110,HR 3786
110,HR 3795
110,HR 3798
110,HR 3819
110,HR 3889
110,HR 3954
110,HR 3986
110,HR 4053
110,HR 4084
110,HR 4089
110,HR 4107
110,HR 4146
110,HR 4148
110,HR 4204
110,HR 4231
110,HR 4255
110,HR 4274
110,HR 4332
110,HR 4463
110,HR 4539
110,HR 463
110,HR 4883
110,HR 4884
110,HR 4889
110,HR 493
110,HR 513
110,HR 5155
110,HR 5229
110,HR 5244
110,HR 5353
110,HR 538
110,HR 542
110,HR 5448
110,HR 5454
110,HR 5522
110,HR 5554
110,HR 5573
110,HR 5579
110,HR 5595
110,HR 5613
110,HR 5622
110,HR 5632
110,HR 5664
110,HR 5679
110,HR 5684
110,HR 5709
110,HR 5729
110,HR 5730
110,HR 5772
110,HR 5782
110,HR 5840
110,HR 585
110,HR 5888
110,HR 5892
110,HR 5954
110,HR 5985
110,HR 5998
110,HR 6003
110,HR 6032
110,HR 6066
110,HR 6070
110,HR 6078
110,HR 6114
110,HR 6122
110,HR 6153
110,HR 6221
110,HR 6224
110,HR 6225
110,HR 6258
110,HR 6272
110,HR 647
110,HR 6594
110,HR 6629
110,HR 67
110,HR 6707
110,HR 674
110,HR 675
110,HR 698
110,HR 6983
110,HR 704
110,HR 7233
110,HR 797
110,HR 800
110,HR 92
110,HR 920
110,HR 964
110,HR 980
111,HR 1017
111,HR 1036
111,HR 1037
111,HR 1075
111,HR 1084
111,HR 1088
111,HR 1089
111,HR 1098
111,HR 114
111,HR 1168
111,HR 1169
111,HR 1171
111,HR 1172
111,HR 1182
111,HR 1197
111,HR 1207
111,HR 1211
111,HR 1214
111,HR 1293
111,HR 1302
111,HR 1327
111,HR 1335
111,HR 1346
111,HR 147
111,HR 1479
111,HR 1522
111,HR 1546
111,HR 1706
111,HR 1728
111,HR 1740
111,HR 1796
111,HR 1821
111,HR 1879
111,HR 1982
111,HR 1984
111,HR 2067
111,HR 2165
111,HR 2180
111,HR 2190
111,HR 2221
111,HR 2266
111,HR 2267
111,HR 2270
111,HR 228
111,HR 2309
111,HR 2336
111,HR 2339
111,HR 2351
111,HR 2379
111,HR 2382
111,HR 2416
111,HR 2454
111,HR 2461
111,HR 2504
111,HR 2506
111,HR 2555
111,HR 2559
111,HR 2614
111,HR 2696
111,HR 2698
111,HR 2699
111,HR 2708
111,HR 2713
111,HR 2734
111,HR 2735
111,HR 2738
111,HR 2770
111,HR 2774
111,HR 2874
111,HR 2879
111,HR 2898
111,HR 292
111,HR 2928
111,HR 294
111,HR 2968
111,HR 297
111,HR 2994
111,HR 3017
111,HR 3045
111,HR 3068
111,HR 3073
111,HR 3101
111,HR 3125
111,HR 3149
111,HR 3181
111,HR 3223
111,HR 3257
111,HR 3258
111,HR 3407
111,HR 3441
111,HR 3484
111,HR 3554
111,HR 3561
111,HR 3577
111,HR 3579
111,HR 3655
111,HR 3685
111,HR 3721
111,HR 3787
111,HR 3792
111,HR 3795
111,HR 3813
111,HR 3843
111,HR 3904
111,HR 3926
111,HR 3948
111,HR 3976
111,HR 3993
111,HR 4006
111,HR 4016
111,HR 4041
111,HR 4062
111,HR 4319
111,HR 4330
111,HR 4465
111,HR 4501
111,HR 4505
111,HR 4541
111,HR 4635
111,HR 4664
111,HR 4678
111,HR 4692
111,HR 4700
111,HR 4714
111,HR 476
111,HR 4765
111,HR 4855
111,HR 4868
111,HR 5064
111,HR 5072
111,HR 515
111,HR 5320
111,HR 5360
111,HR 5381
111,HR 5428
111,HR 5484
111,HR 5504
111,HR 5509
111,HR 5516
111,HR 5543
111,HR 5549
111,HR 5641
111,HR 5663
111,HR 5710
111,HR 5777
111,HR 5820
111,HR 5828
111,HR 5892
111,HR 5996
111,HR 6123
111,HR 6127
111,HR 6149
111,HR 6172
111,HR 6220
111,HR 627
111,HR 784
111,HR 785
111,HR 84
111,HR 915
111,HR 929
111,HR 942
111,HR 949
111,HR 950
111,HR 952
112,HR 1025
112,HR 1148
112,HR 1154
112,HR 1207
112,HR 1208
112,HR 1263
112,HR 1343
112,HR 1383
112,HR 1391
112,HR 1407
112,HR 1418
112,HR 1441
112,HR 1460
112,HR 1484
112,HR 1495
112,HR 1558
112,HR 1627
112,HR 1633
112,HR 1647
112,HR 1657
112,HR 1671
112,HR 169
112,HR 1697
112,HR 1826
112,HR 1847
112,HR 1852
112,HR 1855
112,HR 1898
112,HR 1911
112,HR 1938
112,HR 1941
112,HR 1982
112,HR 2
112,HR 2021
112,HR 2051
112,HR 2054
112,HR 2074
112,HR 2243
112,HR 2250
112,HR 2274
112,HR 2301
112,HR 2302
112,HR 2329
112,HR 2345
112,HR 2349
112,HR 2355
112,HR 2377
112,HR 2383
112,HR 2388
112,HR 240
112,HR 2433
112,HR 2470
112,HR 2498
112,HR 2530
112,HR 2717
112,HR 2720
112,HR 2996
112,HR 3016
112,HR 3094
112,HR 3245
112,HR 3279
112,HR 3329
112,HR 3337
112,HR 3461
112,HR 3483
112,HR 3524
112,HR 3548
112,HR 3606
112,HR 3610
112,HR 3670
112,HR 3723
112,HR 3849
112,HR 3860
112,HR 3989
112,HR 4017
112,HR 4048
112,HR 4051
112,HR 4052
112,HR 4057
112,HR 4072
112,HR 4079
112,HR 4114
112,HR 4115
112,HR 4142
112,HR 4168
112,HR 4213
112,HR 4255
112,HR 4273
112,HR 4297
112,HR 4299
112,HR 4345
112,HR 4624
112,HR 4740
112,HR 5
112,HR 5735
112,HR 5747
112,HR 5859
112,HR 5865
112,HR 5880
112,HR 5881
112,HR 5894
112,HR 6131
112,HR 6172
112,HR 6190
112,HR 6194
112,HR 6213
112,HR 658
112,HR 802
112,HR 805
112,HR 811
112,HR 908
112,HR 909
112,HR 910
112,HR 923
112,HR RES37
113,HR 1067
113,HR 1077
113,HR 1284
113,HR 1288
113,HR 1305
113,HR 1316
113,HR 1331
113,HR 1357
113,HR 1379
